Cycle,Anodic_E_SCE(V),Anodic_I_SCE(A),Cathodic_E_SCE(V),Cathodic_I_SCE(A)
Cycle 1,0.613739013671875,2.0477294921875e-05,0.09808349609375,-2.51983642578125e-06
Cycle 2,0.6358642578125,1.6668701171875e-05,0.098297119140625,-2.74322509765625e-06
Cycle 3,0.653167724609375,1.505126953125e-05,0.100799560546875,-2.7471923828125e-06
Cycle 4,0.64825439453125,1.397705078125e-05,0.1007080078125,-2.66754150390625e-06
Cycle 5,0.699676513671875,1.33514404296875e-05,0.0980224609375,-2.5262451171875e-06
Cycle 6,0.696929931640625,1.312255859375e-05,0.10052490234375,-2.359619140625e-06
Cycle 7,0.697021484375,1.31011962890625e-05,0.098114013671875,-2.2576904296875e-06
Cycle 8,0.697113037109375,1.3116455078125e-05,0.098175048828125,-2.161865234375e-06
Cycle 9,0.694671630859375,1.3006591796875e-05,0.098114013671875,-2.1075439453125e-06
Cycle 10,0.699493408203125,1.2872314453125e-05,0.105621337890625,-2.04986572265625e-06
