Cycle,Anodic_E(V),Anodic_I(A),Cathodic_1_E(V),Cathodic_1_I(A),Cathodic_2_E(V),Cathodic_2_I(A)
Cycle 1,0.2880859375,5.8319091796875e-05,-0.32470703125,-1.39984130859375e-05,0.0732421875,-2.64678955078125e-05
Cycle 2,0.3173828125,4.8223876953125e-05,-0.32958984375,-1.5234375e-05,0.06591796875,-2.31109619140625e-05
Cycle 3,0.3369140625,4.49249267578125e-05,-0.33203125,-1.53472900390625e-05,0.06103515625,-2.10906982421875e-05
Cycle 4,0.34912109375,4.3609619140625e-05,-0.3369140625,-1.5240478515625e-05,0.05615234375,-1.983642578125e-05
Cycle 5,0.35888671875,4.25872802734375e-05,-0.33935546875,-1.5118408203125e-05,0.0537109375,-1.87469482421875e-05
Cycle 6,0.37109375,4.16473388671875e-05,-0.34423828125,-1.4984130859375e-05,0.048828125,-1.76727294921875e-05
Cycle 7,0.3857421875,4.03656005859375e-05,-0.34912109375,-1.4874267578125e-05,0.04638671875,-1.64764404296875e-05
Cycle 8,0.39794921875,3.91998291015625e-05,-0.35400390625,-1.45782470703125e-05,0.04150390625,-1.524658203125e-05
Cycle 9,0.39794921875,3.81256103515625e-05,-0.35888671875,-1.42181396484375e-05,0.03662109375,-1.40472412109375e-05
Cycle 10,0.39794921875,3.6883544921875e-05,-0.3662109375,-1.37786865234375e-05,0.0341796875,-1.28509521484375e-05
Cycle 11,0.39794921875,3.55072021484375e-05,-0.3759765625,-1.32659912109375e-05,0.029296875,-1.16851806640625e-05
Cycle 12,0.39794921875,3.411865234375e-05,-0.3857421875,-1.26861572265625e-05,0.0244140625,-1.0577392578125e-05
Cycle 13,0.39794921875,3.26995849609375e-05,-0.3955078125,-1.20452880859375e-05,0.01953125,-9.5245361328125e-06
Cycle 14,0.39794921875,3.1170654296875e-05,-0.39794921875,-1.13433837890625e-05,0.01220703125,-8.5113525390625e-06
Cycle 15,0.39794921875,2.95928955078125e-05,-0.39794921875,-1.06231689453125e-05,0.0048828125,-7.5469970703125e-06
Cycle 16,0.39794921875,2.77862548828125e-05,-0.39794921875,-9.8480224609375e-06,0.0,-6.6131591796875e-06
Cycle 17,0.39794921875,2.58758544921875e-05,-0.39794921875,-9.039306640625e-06,0.0,-5.67626953125e-06
Cycle 18,0.39794921875,2.38311767578125e-05,-0.39794921875,-8.203125e-06,0.0,-4.7564697265625e-06
Cycle 19,0.39794921875,2.1630859375e-05,-0.39794921875,-7.342529296875e-06,0.0,-3.94805908203125e-06
Cycle 20,0.39794921875,1.943359375e-05,-0.39794921875,-6.4544677734375e-06,0.0,-3.30780029296875e-06
Cycle 21,0.39794921875,1.7254638671875e-05,-0.39794921875,-5.5816650390625e-06,0.0,-2.838134765625e-06
Cycle 22,0.39794921875,1.52008056640625e-05,-0.39794921875,-4.7930908203125e-06,0.0,-2.5335693359375e-06
Cycle 23,0.39794921875,1.329345703125e-05,-0.39794921875,-4.16290283203125e-06,0.0,-2.34466552734375e-06
Cycle 24,0.39794921875,1.1651611328125e-05,-0.39794921875,-3.70697021484375e-06,0.0,-2.24334716796875e-06
Cycle 25,0.39794921875,1.0272216796875e-05,-0.39794921875,-3.4100341796875e-06,0.0,-2.19268798828125e-06
Cycle 26,0.39794921875,9.14306640625e-06,-0.39794921875,-3.2366943359375e-06,0.00244140625,-2.15789794921875e-06
Cycle 27,0.39794921875,8.245849609375e-06,-0.39794921875,-3.12530517578125e-06,0.0,-2.14019775390625e-06
Cycle 28,0.39794921875,7.50732421875e-06,-0.39794921875,-3.0755615234375e-06,0.0,-2.12982177734375e-06
Cycle 29,0.39794921875,6.9244384765625e-06,-0.39794921875,-3.0413818359375e-06,0.0,-2.11944580078125e-06
Cycle 30,0.39794921875,6.45751953125e-06,-0.39794921875,-3.02093505859375e-06,0.0,-2.1063232421875e-06
